               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.012806,            0.011807,          0.00075588,             0.99917,                   1,               0.995,             0.86975,              0.0134,           0.0069266,          0.00032527,           0.0014283,           0.0014283,           0.0014283
                  88,            0.012467,            0.012091,            0.000675,             0.99912,                   1,               0.995,              0.8645,            0.014061,           0.0074036,          0.00031842,           0.0013701,           0.0013701,           0.0013701
                  89,            0.012617,            0.011024,          0.00069556,             0.99929,                   1,               0.995,             0.87603,            0.014075,           0.0071688,          0.00028041,            0.001316,            0.001316,            0.001316
                  90,            0.012622,            0.011398,           0.0007591,              0.9992,                   1,               0.995,             0.86751,            0.013641,           0.0069572,          0.00028119,            0.001266,            0.001266,            0.001266
                  91,            0.012731,            0.011599,          0.00059121,             0.99914,                   1,               0.995,             0.87659,            0.013725,           0.0072179,          0.00029017,           0.0012202,           0.0012202,           0.0012202
                  92,            0.012751,            0.011829,          0.00070114,             0.99917,                   1,               0.995,              0.8726,            0.014195,           0.0073837,          0.00029147,           0.0011787,           0.0011787,           0.0011787
                  93,            0.012114,             0.01086,          0.00033761,             0.99929,                   1,               0.995,             0.87871,            0.013729,           0.0072163,          0.00025755,           0.0011414,           0.0011414,           0.0011414
                  94,            0.012405,            0.010973,          0.00057634,             0.99951,                   1,               0.995,             0.86023,            0.014372,           0.0070765,          0.00023317,           0.0011084,           0.0011084,           0.0011084
                  95,            0.012345,            0.011513,          0.00080597,             0.99956,                   1,               0.995,             0.86627,             0.01405,           0.0071613,          0.00021127,           0.0010797,           0.0010797,           0.0010797
                  96,            0.012678,            0.011139,          0.00048018,             0.99947,                   1,               0.995,             0.86693,            0.013453,            0.006838,          0.00019283,           0.0010554,           0.0010554,           0.0010554
                  97,            0.012378,            0.010692,          0.00067954,             0.99934,                   1,               0.995,             0.86836,            0.013797,            0.007161,          0.00018104,           0.0010355,           0.0010355,           0.0010355
                  98,            0.012462,            0.011227,          0.00068739,             0.99934,                   1,               0.995,             0.85992,            0.014236,           0.0072185,            0.000177,             0.00102,             0.00102,             0.00102
                  99,            0.012398,            0.010936,          0.00052061,             0.99936,                   1,               0.995,             0.86082,            0.014472,           0.0073087,          0.00017503,           0.0010089,           0.0010089,           0.0010089
